step,coverage,cum_time,info_gain,overlap,fail,dt
1.200000000000000000e+02,5.775694444440433450e-01,5.252709828368641531e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
1.210000000000000000e+02,5.775694444440433450e-01,5.291951839833974880e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
1.220000000000000000e+02,5.775694444440433450e-01,5.341853312701515755e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
1.230000000000000000e+02,5.775694444440433450e-01,5.392678773980360774e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
1.240000000000000000e+02,5.775694444440433450e-01,5.424909019754164063e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
1.250000000000000000e+02,5.775694444440433450e-01,5.464971167139100139e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
1.260000000000000000e+02,5.775694444440433450e-01,5.515753043309115533e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
1.270000000000000000e+02,5.775694444440433450e-01,5.565654516176656408e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
1.280000000000000000e+02,5.775694444440433450e-01,5.616436392346671802e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
1.290000000000000000e+02,5.775694444440433450e-01,5.655678403812005151e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
1.300000000000000000e+02,5.775694444440433450e-01,5.695740551196941226e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
1.310000000000000000e+02,5.775694444440433450e-01,5.735078905055598142e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
1.320000000000000000e+02,5.775694444440433450e-01,5.768425212471984587e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
1.330000000000000000e+02,5.775694444440433450e-01,5.806723616492967643e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
1.340000000000000000e+02,5.775694444440433450e-01,5.840069923909354088e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
1.350000000000000000e+02,5.775694444440433450e-01,5.890895385188199107e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
1.360000000000000000e+02,5.775694444440433450e-01,5.923125630962002397e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
1.370000000000000000e+02,5.775694444440433450e-01,5.961424034982985454e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
1.380000000000000000e+02,5.775694444440433450e-01,6.000762388841642370e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
1.390000000000000000e+02,5.775694444440433450e-01,6.039060792862625426e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
1.400000000000000000e+02,5.775694444440433450e-01,6.088004164181400668e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
1.410000000000000000e+02,5.775694444440433450e-01,6.138775136428058943e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.077097224665848979e-02
